agegroup,Sex,Cases,Cases_Male,Active_Cases,Cases_Female,Date,Daily_Recovered
70-79,Female,0,0,0,0,7/19/2021,0
70-79,Female,0,0,0,0,7/20/2021,0
70-79,Female,0,0,0,0,7/21/2021,0
70-79,Female,0,0,0,0,7/22/2021,0
70-79,Female,0,0,0,0,7/23/2021,0
70-79,Female,0,0,0,0,7/24/2021,0
70-79,Female,0,0,0,0,7/25/2021,0
70-79,Female,0,0,0,0,7/26/2021,0
70-79,Female,0,0,0,0,7/27/2021,0
70-79,Female,0,0,0,0,7/28/2021,0
70-79,Female,0,0,0,0,7/29/2021,0
70-79,Female,0,0,0,0,7/30/2021,0
70-79,Female,0,0,0,0,7/31/2021,0
70-79,Female,0,0,0,0,8/1/2021,0
70-79,Female,0,0,0,0,8/2/2021,0
70-79,Female,0,0,0,0,8/3/2021,0
70-79,Female,0,0,0,0,8/4/2021,0
70-79,Female,0,0,0,0,8/5/2021,0
70-79,Female,0,0,0,0,8/6/2021,0
70-79,Female,0,0,0,0,8/7/2021,0
70-79,Female,0,0,0,0,8/8/2021,0
70-79,Female,0,0,0,0,8/9/2021,0
70-79,Female,0,0,0,0,8/10/2021,0
70-79,Female,0,0,0,0,8/11/2021,0
70-79,Female,0,0,0,0,8/12/2021,0
70-79,Female,0,0,0,0,8/13/2021,0
70-79,Female,0,0,0,0,8/14/2021,0
70-79,Female,0,0,0,0,8/15/2021,0
70-79,Female,0,0,0,0,8/16/2021,0
70-79,Female,0,0,0,0,8/17/2021,0
70-79,Female,0,0,0,0,8/18/2021,0
70-79,Female,1,0,1,1,8/19/2021,
